id,birth date,job type,school level,domestic status,profession,domestic relationship type,ethnicity,gender,earned dividends,interest earned,monthly work,country of origin,target
21351,1977-12-27,self-emp-not-inc,basic vocational,married 2,specialist technician,has husband,white and privileged,Female,0,1977,60,u.s.,0
7200,1982-12-26,private,secondary-7 through 8,d,technology support,never married,white and privileged,Female,0,0,160,u.s.,1
10014,1993-12-23,private,entry level college,single,sales,living with child,white and privileged,Female,0,0,160,u.s.,1
10553,1977-12-27,private,college graduate,married 2,other,has husband,white and privileged,Female,0,0,160,puerto rico,1
11776,1982-12-26,private,basic vocational,d,specialist technician,never married,white and privileged,Female,0,0,160,u.s.,1
28843,1995-12-23,private,secondary,single,other,living with child,white and privileged,Female,0,0,160,u.s.,1
5675,1979-12-27,state-gov,college graduate,d,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
10378,1991-12-24,private,college graduate,single,sales,not living with family,asian,Female,0,0,160,south,1
7814,1991-12-24,private,college graduate,single,C-level,not living with family,white and privileged,Female,0,0,200,u.s.,1
8384,1995-12-23,private,entry level college,single,sales,living with child,white and privileged,Female,0,0,120,u.s.,1
26680,1985-12-25,private,entry level college,d,sales,never married,white and privileged,Female,0,0,120,u.s.,1
23697,1992-12-23,private,secondary,single,secretarial,never married,white and privileged,Female,0,0,184,u.s.,1
12726,1992-12-23,private,some post graduate,single,specialist technician,living with child,white and privileged,Female,0,0,140,u.s.,1
9953,1951-01-03,self-emp-not-inc,secondary,spouse passed,other,not living with family,white and privileged,Female,0,0,80,u.s.,1
27004,1985-12-25,state-gov,some post graduate,single,secretarial,not living with family,white and privileged,Female,0,0,152,u.s.,1
22755,1992-12-23,local-gov,college graduate,single,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
28280,2000-12-21,private,secondary 11,single,sales,living with child,white and privileged,Female,0,0,60,u.s.,1
22208,1982-12-26,self-emp-not-inc,secondary,married 2,vocational,has husband,afro american,Female,0,0,160,u.s.,0
1933,1992-12-23,private,secondary,married 2,technology support,living with extende family,white and privileged,Female,0,0,192,u.s.,0
29861,1968-12-29,private,college graduate,d,C-level,never married,white and privileged,Female,0,0,160,u.s.,0
3332,1983-12-26,private,secondary,d,secretarial,never married,white and privileged,Female,0,0,160,u.s.,1
4324,1980-12-26,private,basic vocational,divorce pending,specialist technician,living with child,white and privileged,Female,0,0,152,u.s.,1
17072,1989-12-24,private,secondary,single,other,living with child,white and privileged,Female,0,0,160,u.s.,1
25567,1992-12-23,private,secondary,single,estate employee,not living with family,white and privileged,Female,0,0,200,u.s.,1
28789,1997-12-22,private,secondary,single,sales,not living with family,white and privileged,Female,0,0,140,u.s.,1
18896,1969-12-29,private,secondary,d,C-level,never married,asian,Female,0,0,160,u.s.,1
747,1985-12-25,private,entry level college,single,secretarial,living with child,afro american,Female,0,0,160,u.s.,1
20247,1978-12-27,local-gov,college graduate,d,specialist technician,never married,white and privileged,Female,0,0,160,u.s.,1
6422,1973-12-28,private,secondary,divorce pending,secretarial,not living with family,white and privileged,Female,0,0,160,puerto rico,1
27261,1990-12-24,local-gov,secondary,married 2,defense contractor,has husband,white and privileged,Female,0,0,160,u.s.,1
14469,1972-12-28,local-gov,some post graduate,d,specialist technician,living with child,white and privileged,Female,0,0,220,u.s.,1
8951,1971-12-29,private,entry level college,single,C-level,never married,white and privileged,Female,0,0,180,u.s.,1
7817,1975-12-28,private,secondary,d,specialist technician,not living with family,white and privileged,Female,0,0,180,u.s.,1
20299,2000-12-21,private,10th,single,specialist technician,living with child,other,Female,0,0,60,u.s.,1
14619,1967-12-30,private,secondary,d,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
30996,1991-12-24,state-gov,college graduate,single,C-level,not living with family,white and privileged,Female,0,0,140,u.s.,1
6235,1970-12-29,private,entry level college,d,secretarial,not living with family,white and privileged,Female,0,0,140,u.s.,1
21319,1988-12-24,private,secondary,single,secretarial,not living with family,white and privileged,Female,0,0,220,u.s.,1
8033,1988-12-24,private,entry level college,d,specialist technician,never married,white and privileged,Female,0,0,96,u.s.,1
30088,1959-01-01,state-gov,college graduate,single,C-level,not living with family,afro american,Female,0,0,160,us territory,1
21837,1977-12-27,self-emp-not-inc,some post graduate,divorce pending,C-level,never married,white and privileged,Female,0,0,80,u.s.,1
22777,1989-12-24,local-gov,secondary,single,trucking,living with child,afro american,Female,0,0,160,u.s.,1
26251,1991-12-24,private,advanced vocational,single,specialist technician,living with child,white and privileged,Female,0,0,144,u.s.,1
23230,1969-12-29,federal-gov,entry level college,spouse passed,other,never married,afro american,Female,0,0,160,u.s.,1
13284,1953-01-02,self-emp-not-inc,entry level college,spouse passed,C-level,never married,white and privileged,Female,0,0,180,u.s.,1
8514,1996-12-22,private,advanced vocational,single,other,living with child,white and privileged,Female,0,0,36,u.s.,1
9340,1977-12-27,unknown,secondary,single,unknown,not living with family,white and privileged,Female,0,0,16,u.s.,1
26490,1978-12-27,private,entry level college,married 2,secretarial,living with child,afro american,Female,0,0,200,u.s.,0
29713,1998-12-22,local-gov,entry level college,single,sales,living with child,white and privileged,Female,0,0,64,u.s.,1
29534,1974-12-28,state-gov,advanced post graduate,single,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
26503,1944-01-05,unknown,college graduate,spouse passed,unknown,not living with family,other,Female,0,0,140,u.s.,1
30198,1994-12-23,private,advanced vocational,single,sales,living with child,white and privileged,Female,0,0,160,u.s.,1
5343,1986-12-25,private,entry level college,d,secretarial,never married,afro american,Female,0,0,160,u.s.,1
16545,1995-12-23,private,entry level college,single,secretarial,living with child,white and privileged,Female,0,0,160,u.s.,1
16156,1967-12-30,self-emp-not-inc,entry level college,d,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
13113,1971-12-29,local-gov,college graduate,d,specialist technician,never married,white and privileged,Female,0,0,172,u.s.,1
2560,1978-12-27,private,basic vocational,married 2,secretarial,has husband,white and privileged,Female,0,0,80,u.s.,0
6809,1977-12-27,private,entry level college,d,C-level,living with extende family,afro american,Female,0,0,220,u.s.,1
18933,1985-12-25,private,entry level college,married not together,trucking,not living with family,white and privileged,Female,0,0,148,u.s.,1
18924,1998-12-22,unknown,entry level college,single,unknown,living with child,white and privileged,Female,0,0,80,u.s.,1
4576,1974-12-28,private,secondary,married 2,mechanic,has husband,afro american,Female,0,0,84,trinadad/tobago,1
1570,1998-12-22,unknown,college graduate,single,unknown,living with child,afro american,Female,0,0,160,jamaica,1
5240,1992-12-23,private,advanced vocational,single,technology support,living with child,white and privileged,Female,0,0,160,u.s.,1
29764,2000-12-21,private,secondary 11,single,other,living with child,white and privileged,Female,0,0,80,u.s.,1
10645,1997-12-22,private,secondary,single,other,never married,afro american,Female,0,0,100,u.s.,1
16744,1966-12-30,private,college graduate,d,sales,not living with family,white and privileged,Female,0,0,240,u.s.,1
18184,1995-12-23,private,secondary,single,other,living with child,white and privileged,Female,0,0,160,u.s.,1
7040,1961-12-31,private,secondary 11,d,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
7279,1966-12-30,private,secondary,married not together,sales,not living with family,afro american,Female,0,0,152,u.s.,1
27011,1996-12-22,private,entry level college,single,sales,never married,white and privileged,Female,0,0,140,u.s.,1
21905,1981-12-26,state-gov,secondary,divorce pending,other,living with child,white and privileged,Female,0,0,128,u.s.,1
29911,1967-12-30,self-emp-not-inc,entry level college,married 2,C-level,has husband,white and privileged,Female,0,0,120,u.s.,1
21554,1988-12-24,private,college graduate,single,C-level,not living with family,white and privileged,Female,0,0,180,u.s.,0
30608,1976-12-27,private,10th,married not together,vocational,not living with family,white and privileged,Female,0,0,160,u.s.,1
9496,2000-12-21,local-gov,secondary 11,single,secretarial,living with child,white and privileged,Female,0,0,48,u.s.,1
6789,1995-12-23,private,college graduate,single,C-level,living with child,white and privileged,Female,0,0,28,u.s.,1
10271,1990-12-24,private,basic vocational,d,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
28704,1952-01-03,private,entry level college,spouse passed,sales,never married,white and privileged,Female,0,0,200,u.s.,0
15172,1989-12-24,private,college graduate,married 2,specialist technician,has husband,white and privileged,Female,0,1977,96,u.s.,0
10636,1971-12-29,private,college graduate,single,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
17639,1966-12-30,state-gov,entry level college,d,secretarial,never married,white and privileged,Female,0,0,140,u.s.,1
23746,1998-12-22,state-gov,secondary,single,secretarial,not living with family,white and privileged,Female,0,0,80,u.s.,1
29875,1999-12-22,private,secondary 11,single,other,living with child,white and privileged,Female,0,0,80,u.s.,1
12864,1998-12-22,self-emp-not-inc,entry level college,single,other,living with child,white and privileged,Female,0,0,100,u.s.,1
15616,1986-12-25,unknown,secondary,married 2,unknown,has husband,white and privileged,Female,0,0,120,mexico,1
16155,1996-12-22,unknown,entry level college,single,unknown,living with child,white and privileged,Female,0,0,140,u.s.,1
20454,1970-12-29,federal-gov,secondary,d,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
2897,1954-01-02,private,10th,divorce pending,other,not living with family,white and privileged,Female,0,0,140,u.s.,1
6857,1972-12-28,private,college graduate,d,sales,not living with family,white and privileged,Female,0,0,184,u.s.,1
884,1984-12-25,private,entry level college,married 2,vocational,has husband,white and privileged,Female,0,0,240,u.s.,1
25015,1973-12-28,private,entry level college,d,other,never married,afro american,Female,0,0,140,u.s.,1
4,1989-12-24,private,college graduate,married 2,specialist technician,has husband,afro american,Female,0,0,160,cuba,1
27350,2000-12-21,unknown,secondary 11,single,unknown,living with child,afro american,Female,0,0,80,u.s.,1
14711,1934-01-07,local-gov,basic vocational,spouse passed,secretarial,not living with family,white and privileged,Female,0,0,56,u.s.,1
4719,1978-12-27,private,college graduate,d,C-level,not living with family,white and privileged,Female,0,0,100,u.s.,1
32361,1962-12-31,local-gov,some post graduate,single,specialist technician,not living with family,white and privileged,Female,0,0,180,u.s.,1
32497,1983-12-26,private,secondary,single,other,not living with family,white and privileged,Female,0,0,112,u.s.,1
1835,1994-12-23,private,secondary,single,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
3147,1991-12-24,private,college graduate,single,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
9872,1955-01-02,unknown,secondary,spouse passed,unknown,not living with family,afro american,Female,0,0,44,u.s.,1
7729,1983-12-26,private,secondary 12,single,secretarial,never married,white and privileged,Female,0,0,160,u.s.,1
2646,1962-12-31,self-emp-not-inc,secondary,spouse passed,other,not living with family,white and privileged,Female,0,0,100,nicaragua,1
6203,1967-12-30,private,secondary,divorce pending,specialist technician,never married,other,Female,0,0,240,puerto rico,1
8037,1966-12-30,private,entry level college,spouse passed,secretarial,never married,white and privileged,Female,0,0,180,u.s.,1
1716,1975-12-28,private,college graduate,d,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
2146,1999-12-22,private,secondary 11,single,specialist technician,living with child,white and privileged,Female,0,0,160,u.s.,1
20664,1941-01-05,unknown,basic vocational,married not together,unknown,not living with family,white and privileged,Female,0,0,100,u.s.,1
26838,1990-12-24,unknown,advanced vocational,married 2,unknown,has husband,white and privileged,Female,0,0,160,u.s.,1
24240,1956-01-02,private,secondary-7 through 8,d,technology support,never married,white and privileged,Female,0,0,152,columbia,1
30061,1984-12-25,unknown,secondary 11,single,unknown,not living with family,white and privileged,Female,0,0,160,u.s.,1
2059,1997-12-22,private,secondary 12,single,secretarial,living with child,white and privileged,Female,0,0,160,mexico,1
16031,1982-12-26,private,secondary,married not together,other,never married,afro american,Female,0,0,80,u.s.,1
22741,1995-12-23,private,entry level college,single,secretarial,living with child,white and privileged,Female,0,0,160,u.s.,1
8539,1995-12-23,private,entry level college,single,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
23577,1965-12-30,private,entry level college,d,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
7043,1976-12-27,private,advanced post graduate,d,sales,never married,white and privileged,Female,0,0,200,u.s.,0
15338,1975-12-28,private,entry level college,spouse passed,sales,never married,afro american,Female,0,0,160,u.s.,1
8053,1988-12-24,unknown,secondary,married 2,unknown,not living with family,white and privileged,Female,0,0,108,u.s.,1
19990,1990-12-24,private,basic vocational,single,C-level,living with child,white and privileged,Female,0,0,160,u.s.,1
26663,1989-12-24,local-gov,entry level college,married not together,secretarial,never married,white and privileged,Female,0,0,160,u.s.,1
28856,1985-12-25,private,entry level college,single,other,living with child,white and privileged,Female,0,0,152,u.s.,1
31451,1981-12-26,private,some post graduate,married 2,specialist technician,has husband,white and privileged,Female,0,0,200,u.s.,0
20295,1995-12-23,private,entry level college,single,secretarial,living with extende family,white and privileged,Female,0,0,64,u.s.,1
31765,1998-12-22,unknown,entry level college,single,unknown,living with child,white and privileged,Female,0,0,160,u.s.,1
12154,1980-12-26,private,secondary,single,other,never married,white and privileged,Female,0,0,140,u.s.,1
15683,1973-12-28,local-gov,entry level college,d,secretarial,never married,white and privileged,Female,0,0,160,u.s.,1
1903,1991-12-24,private,secondary,single,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
31668,1954-01-02,unknown,secondary-7 through 8,spouse passed,unknown,not living with family,white and privileged,Female,0,0,16,u.s.,1
11588,1972-12-28,private,entry level college,d,secretarial,never married,afro american,Female,0,0,128,u.s.,1
5463,1964-12-30,private,10th,married not together,mechanic,not living with family,white and privileged,Female,0,0,160,columbia,1
22456,1985-12-25,private,secondary,married 2,sales,has husband,white and privileged,Female,0,0,160,u.s.,0
11440,1951-01-03,private,secondary,single,C-level,not living with family,white and privileged,Female,0,0,140,u.s.,1
25016,1987-12-25,private,entry level college,d,sales,never married,american indian,Female,0,0,160,u.s.,1
5451,1961-12-31,private,secondary 11,divorce pending,mechanic,not living with family,white and privileged,Female,0,0,160,u.s.,1
8769,1995-12-23,unknown,entry level college,single,unknown,living with child,white and privileged,Female,0,0,160,u.s.,1
17967,1967-12-30,private,entry level college,d,specialist technician,never married,white and privileged,Female,0,0,160,u.s.,1
22031,1962-12-31,local-gov,some post graduate,spouse passed,specialist technician,never married,white and privileged,Female,0,0,180,u.s.,1
7841,1989-12-24,private,secondary,single,C-level,not living with family,white and privileged,Female,0,0,200,u.s.,1
24564,1976-12-27,private,secondary,single,sales,not living with family,white and privileged,Female,0,0,200,u.s.,1
5719,1980-12-26,private,basic vocational,d,mechanic,not living with family,white and privileged,Female,0,0,120,u.s.,1
27133,1962-12-31,federal-gov,college graduate,divorce pending,other,never married,white and privileged,Female,0,0,288,unknown,1
18513,1984-12-25,private,secondary 11,single,secretarial,never married,afro american,Female,0,0,152,u.s.,1
27130,1995-12-23,private,secondary,single,sales,never married,white and privileged,Female,0,0,160,u.s.,1
18777,1963-12-31,private,secondary 11,d,vocational,living with child,white and privileged,Female,0,0,200,u.s.,0
20849,1942-01-05,private,secondary-7 through 8,spouse passed,estate employee,not living with family,white and privileged,Female,0,0,160,u.s.,1
20653,1998-12-22,private,secondary,single,other,not living with family,white and privileged,Female,0,0,120,u.s.,1
27199,1991-12-24,private,college graduate,single,C-level,not living with family,white and privileged,Female,0,0,200,u.s.,1
1311,1989-12-24,private,college graduate,single,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
32166,1975-12-28,local-gov,college graduate,d,specialist technician,never married,afro american,Female,0,0,120,u.s.,1
20788,1966-12-30,private,advanced vocational,single,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
5527,1980-12-26,private,secondary-5 through 6,divorce pending,other,never married,white and privileged,Female,0,0,160,u.s.,1
5914,1993-12-23,local-gov,entry level college,married 2,secretarial,has husband,white and privileged,Female,0,0,176,u.s.,1
25121,1980-12-26,private,some post graduate,single,C-level,not living with family,white and privileged,Female,0,0,160,u.s.,0
16383,1972-12-28,private,entry level college,d,secretarial,not living with family,white and privileged,Female,0,0,192,u.s.,1
7933,1977-12-27,private,entry level college,married 2,secretarial,has husband,white and privileged,Female,0,0,160,u.s.,1
30828,1957-01-01,local-gov,some post graduate,single,specialist technician,never married,white and privileged,Female,0,0,100,u.s.,1
8022,1985-12-25,unknown,secondary 11,d,unknown,not living with family,white and privileged,Female,0,0,196,u.s.,1
30916,1991-12-24,private,entry level college,single,sales,not living with family,white and privileged,Female,0,0,148,u.s.,1
27080,1990-12-24,private,secondary,d,technology support,not living with family,white and privileged,Female,0,0,180,u.s.,1
16907,1996-12-22,unknown,entry level college,single,unknown,not living with family,white and privileged,Female,0,0,112,u.s.,1
14416,2000-12-21,private,10th,single,household labor,living with child,white and privileged,Female,0,0,92,u.s.,1
7795,1989-12-24,private,advanced vocational,d,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
32420,1994-12-23,private,college graduate,single,C-level,not living with family,white and privileged,Female,0,0,200,u.s.,1
880,1968-12-29,private,secondary-9,d,mechanic,not living with family,white and privileged,Female,0,0,160,u.s.,1
14535,1997-12-22,unknown,entry level college,single,unknown,living with child,white and privileged,Female,0,0,48,u.s.,1
19273,1999-12-22,private,secondary 11,single,secretarial,living with extende family,asian,Female,0,0,80,u.s.,1
13219,1956-01-02,self-emp-not-inc,secondary,spouse passed,secretarial,living with extende family,white and privileged,Female,0,0,120,u.s.,1
12571,1988-12-24,private,basic vocational,single,estate employee,living with child,white and privileged,Female,0,0,160,u.s.,1
10679,1999-12-22,unknown,secondary 11,single,unknown,never married,afro american,Female,0,0,200,u.s.,1
1617,1991-12-24,private,entry level college,married 2,C-level,has husband,white and privileged,Female,0,0,140,u.s.,1
12682,1998-12-22,private,secondary,single,secretarial,living with child,white and privileged,Female,0,0,140,u.s.,1
28005,1963-12-31,private,secondary,married not together,C-level,not living with family,white and privileged,Female,0,0,172,u.s.,1
4314,1969-12-29,private,secondary,d,C-level,not living with family,white and privileged,Female,0,0,160,u.s.,1
17982,1984-12-25,private,secondary,married 2,other,has husband,white and privileged,Female,0,0,152,el-salvador,1
27451,1997-12-22,private,entry level college,single,secretarial,living with child,white and privileged,Female,0,0,40,u.s.,1
4263,1981-12-26,private,secondary,married 2,agriculture,has husband,white and privileged,Female,0,0,160,u.s.,1
20957,1990-12-24,private,secondary,d,secretarial,never married,white and privileged,Female,0,0,160,u.s.,1
3641,1994-12-23,private,advanced vocational,single,trucking,never married,white and privileged,Female,0,0,160,u.s.,1
24469,1967-12-30,local-gov,entry level college,d,other,never married,afro american,Female,0,0,160,u.s.,1
11851,1992-12-23,unknown,secondary 12,divorce pending,unknown,never married,white and privileged,Female,0,0,120,u.s.,1
18096,1995-12-23,local-gov,entry level college,single,secretarial,not living with family,asian,Female,0,0,160,vietnam,1
19374,1995-12-23,private,college graduate,single,sales,living with child,white and privileged,Female,0,0,60,u.s.,1
3586,1989-12-24,private,secondary,single,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
26907,1991-12-24,private,college graduate,single,specialist technician,not living with family,afro american,Female,0,0,180,u.s.,1
10034,1968-12-29,private,entry level college,married not together,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
10575,1948-01-04,private,college graduate,spouse passed,specialist technician,never married,white and privileged,Female,0,0,80,puerto rico,1
30621,1985-12-25,local-gov,college graduate,married 2,specialist technician,has husband,white and privileged,Female,0,0,140,u.s.,0
2100,1970-12-29,state-gov,college graduate,d,C-level,not living with family,white and privileged,Female,0,0,160,u.s.,0
17174,1973-12-28,private,college graduate,d,specialist technician,never married,white and privileged,Female,0,0,160,u.s.,1
28904,1990-12-24,unknown,advanced vocational,single,unknown,not living with family,white and privileged,Female,0,0,180,u.s.,1
28960,1981-12-26,private,college graduate,d,specialist technician,never married,afro american,Female,0,213,160,u.s.,1
18420,1971-12-29,private,college graduate,divorce pending,C-level,never married,white and privileged,Female,0,0,160,u.s.,1
5683,1976-12-27,private,college graduate,d,technology support,not living with family,white and privileged,Female,0,0,120,unknown,1
5322,1998-12-22,private,secondary,single,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
27184,1994-12-23,private,entry level college,single,other,living with extende family,white and privileged,Female,0,0,160,u.s.,1
18859,1981-12-26,local-gov,some post graduate,married 2,specialist technician,has husband,white and privileged,Female,0,0,160,u.s.,1
16529,1994-12-23,private,secondary 12,single,other,not living with family,white and privileged,Female,0,0,152,u.s.,1
28761,1985-12-25,state-gov,entry level college,single,technology support,never married,afro american,Female,0,0,80,u.s.,1
29482,1985-12-25,private,basic vocational,spouse passed,technology support,never married,afro american,Female,0,0,160,u.s.,1
2725,1989-12-24,private,some post graduate,single,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,0
28215,1975-12-28,private,basic vocational,single,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
804,2000-12-21,private,secondary 11,single,sales,living with child,white and privileged,Female,0,0,80,u.s.,1
815,1970-12-29,self-emp-not-inc,secondary,married 2,other,has husband,white and privileged,Female,0,0,300,italy,1
18269,1990-12-24,private,entry level college,single,secretarial,not living with family,white and privileged,Female,0,0,60,u.s.,1
5525,1983-12-26,private,college graduate,single,C-level,not living with family,asian,Female,0,0,160,philippines,1
17306,1987-12-25,private,college graduate,single,C-level,not living with family,white and privileged,Female,0,0,180,de,1
24372,1962-12-31,private,secondary,divorce pending,other,not living with family,white and privileged,Female,0,0,64,u.s.,1
14125,1987-12-25,private,secondary 12,d,other,not living with family,white and privileged,Female,0,0,160,u.s.,1
5016,1973-12-28,local-gov,entry level college,d,specialist technician,never married,white and privileged,Female,0,0,100,u.s.,1
